"Grade Distribution by Institution, Course School, Department, Course, and Class Number for 4208"
"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","101","1007","INTRO TO THE AIR FORCE I","N/A","Williams,Joseph D","8","11","0"," 3.925"," 3.329","100.0","0.0","0.0","0.0","3","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","101","12815","INTRO TO THE AIR FORCE I","N/A","Williams,Joseph D","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","151","14272","AF LLAB I","N/A","Williams,Jason Patton","46","57","0"," 3.972"," 3.396","97.8","2.2","0.0","0.0","11","42","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","201","1008","TEAM AND LDRSP FUND USAF I","N/A","Bofferding,Steven Michael","17","20","0"," 4.000"," 3.347","100.0","0.0","0.0","0.0","3","11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","301","1009","LEADING AND COMM USAF I","N/A","Williams,Jason Patton","11","11","0"," 3.945"," 3.529","100.0","0.0","0.0","0.0","0","6","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","401","1010","NATL SEC PREP ACTV DUTY I","N/A","Bofferding,Steven Michael","9","9","0"," 4.000"," 3.517","100.0","0.0","0.0","0.0","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2619","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","15","17","0"," 4.000"," 2.963","100.0","0.0","0.0","0.0","2","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2620","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","9","12","0"," 3.967"," 3.376","100.0","0.0","0.0","0.0","3","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2622","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","12","16","0"," 4.000"," 3.330","100.0","0.0","0.0","0.0","4","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2623","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","15","16","0"," 4.000"," 3.372","100.0","0.0","0.0","0.0","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","01-22-2021"
"IUBLA","Bloomington","4208","Fall 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","301","2626","ADAPTIVE TEAM LEADERSHIP","N/A","Giordano,Anthony","12","14","0"," 3.950"," 3.713","100.0","0.0","0.0","0.0","2","3","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","01-22-2021"
