"Grade Distribution by Institution, Course School, Department, Course, and Class Number for 4252"
"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","102","1278","INTRO TO THE AIR FORCE II","N/A","Warner,Nick","21","22","0"," 3.905"," 3.306","90.5","9.5","0.0","0.0","1","17","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","152","8293","LLAB II","N/A","O'Neill,Michael P","42","46","0"," 4.000"," 3.240","100.0","0.0","0.0","0.0","4","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","202","1279","TEAM AND LDRSP FUND II","N/A","Lu,Hsiao-Wei","11","14","0"," 3.936"," 3.035","90.9","9.1","0.0","0.0","3","5","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","302","1280","LEADING AND COMMUNICATION II","N/A","O'Neill,Michael P","8","8","0"," 4.000"," 3.422","100.0","0.0","0.0","0.0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","402","1281","NATL SEC/PREP ACTV DUTY II","N/A","Lu,Hsiao-Wei","7","7","0"," 4.000"," 3.268","100.0","0.0","0.0","0.0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2345","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","18","19","0"," 3.800"," 3.265","88.9","5.6","5.6","0.0","1","6","8","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2346","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","28","29","0"," 3.668"," 3.225","82.1","7.1","7.1","3.6","1","11","10","2","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2348","LEADERSHIP IN CHANGING ENVIRON","LEADERSHIP AND TEAMWORK","Vargas,Ralph Ruegamer","18","21","0"," 3.800"," 3.309","88.9","5.6","5.6","0.0","3","6","8","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2349","LEADERSHIP IN CHANGING ENVIRON","LEADERSHIP AND TEAMWORK","Vargas,Ralph Ruegamer","18","20","0"," 3.761"," 3.244","83.3","11.1","5.6","0.0","2","5","10","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","06-13-2025"
"IUBLA","Bloomington","4252","Spring 2025","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","302","2351","LEADERSHIP UNDER FIRE","N/A","Walton,Timothy","15","15","0"," 3.827"," 3.308","86.7","13.3","0.0","0.0","0","10","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-13-2025"
